chararts.id,chararts.id.no,chararts.id.name,char.profession,char.name.zh,char.name.pinyin,char.name.py,char.name.en,char.id,char.rarity,char.race,char.skill.1,char.skill.2,char.skill.3
char_128_plosis,128,plosis,医疗,白面鸮,baimianxiao,bmx,Ptilopsis,RL04,5,黎博利,治疗强化·γ型,脑啡肽,
char_129_bluep,129,bluep,狙击,蓝毒,landu,ld,Blue Poison,AA03,5,安努拉,二重射击·自动,毒液散射,
char_130_doberm,130,doberm,近卫,杜宾,dubin,db,Dobermann,R100,4,佩洛,强力击·β型,鞭策,
char_131_flameb,131,flameb,近卫,炎客,yanke,yk,Flamebringer,R137,5,萨卡兹,歃血,刃鬼,
char_133_mm,133,mm,狙击,梅,mei,m,May,VC01,4,黎博利,麻痹弹,束缚电击,
char_134_ifrit,134,ifrit,术师,伊芙利特,yifulite,yflt,Ifrit,RL03,6,萨卡兹,狂热,炎爆,灼地
char_135_halo,135,halo,术师,星源,xingyuan,xy,Astgenne,RL08,5,黎博利,双端导流,星束交汇,
char_136_hsguma,136,hsguma,重装,星熊,xingxiong,xx,Hoshiguma,LM05,6,鬼,战意,荆棘,力之锯
char_137_brownb,137,brownb,近卫,猎蜂,liefeng,lf,Beehunter,US10,4,乌萨斯,高机动,急速拳,
char_140_whitew,140,whitew,近卫,拉普兰德,lapulande,lpld,Lappland,SR01,5,鲁珀,日晷,狼魂,
char_141_nights,141,nights,术师,夜烟,yeyan,yy,Haze,VC02,4,菲林,攻击力强化·α型,赤色之瞳,
char_143_ghost,143,ghost,近卫,幽灵鲨,youlingsha,yls,Specter,AA02,5,未公开,攻击力强化·γ型,肉斩骨断,
char_144_red,144,red,特种,红,hong,h,Projekt Red,SW01,5,鲁珀,处决模式,狼群,
char_145_prove,145,prove,狙击,普罗旺斯,puluowangsi,plws,Provence,SR03,5,鲁珀,狼眼,杀戮嗅觉,
char_147_shining,147,shining,医疗,闪灵,shanling,sl,Shining,FO01,6,萨卡兹,信条,自动掩护,教条力场
char_148_nearl,148,nearl,重装,临光,linguang,lg,Nearl,FO02,5,库兰塔,急救,急救模式,
char_149_scave,149,scave,先锋,清道夫,qingdaofu,qdf,Scavenger,SW02,4,札拉克,冲锋号令·β型,冲锋号令·攻击,
char_150_snakek,150,snakek,重装,蛇屠箱,shetuxiang,stx,Cuora,IU05,4,匹特拉姆,防御力强化·β型,壳状防御,
char_151_myrtle,151,myrtle,先锋,桃金娘,taojinniang,tjn,Myrtle,R108,4,杜林,支援号令·β型,治愈之翼,
char_154_morgan,154,morgan,近卫,摩根,mogen,mg,Morgan,GG02,5,菲林,街头好手,无畏招架,
char_155_tiger,155,tiger,近卫,因陀罗,yintuoluo,ytl,Indra,GG03,5,菲林,碎甲拳,裂魂,
char_157_dagda,157,dagda,近卫,达格达,dageda,dgd,Dagda,GG04,5,菲林,反制技巧,精准捕杀,
char_158_milu,158,milu,狙击,守林人,shoulinren,slr,Firewatch,ST01,5,埃拉菲亚,环境伪装,战术电台,
char_159_peacok,159,peacok,近卫,断罪者,duanzuizhe,dzz,Conviction,MN01,4,未知（疑似黎博利）,断罪,创世纪,
char_163_hpsts,163,hpsts,重装,火神,huoshen,hs,Vulcan,MN02,5,丰蹄,坚守模式,武力模式,
char_164_nightm,164,nightm,术师,夜魔,yemo,ym,Nightmare,VC03,5,菲林,灵魂汲取,夜魇魔影,
char_166_skfire,166,skfire,术师,天火,tianhuo,th,Skyfire,SK01,5,菲林,攻击力强化·γ型,天坠之火,
char_171_bldsk,171,bldsk,医疗,华法琳,huafalin,hfl,Warfarin,R106,5,萨卡兹,紧急包扎,不稳定血浆,
char_172_svrash,172,svrash,近卫,银灰,yinhui,yh,SilverAsh,JC01,6,菲林,强力击·γ型,雪境生存法则,真银斩
char_173_slchan,173,slchan,特种,崖心,yaxin,yx,Cliffheart,JC06,5,菲林,锁链勾爪,束缚链,
char_174_slbell,174,slbell,辅助,初雪,chuxue,cx,Pramanix,JC05,5,菲林,传音回响,自然震慑,
char_179_cgbird,179,cgbird,医疗,夜莺,yeying,yy,Nightingale,FO03,6,萨卡兹,治疗强化·γ型,法术护盾,圣域
char_180_amgoat,180,amgoat,术师,艾雅法拉,aiyafala,ayfl,Eyjafjalla,LN02,6,卡普里尼,二重咏唱,点燃,火山
char_181_flower,181,flower,医疗,调香师,tiaoxiangshi,txs,Perfumer,MN03,4,沃尔珀,治疗强化·β型,精调,
char_183_skgoat,183,skgoat,辅助,地灵,diling,dl,Earthspirit,LN01,4,卡普里尼,攻击力强化·β型,流沙化,
char_185_frncat,185,frncat,近卫,慕斯,musi,ms,Mousse,VC04,4,菲林,挠伤,炸毛,
char_187_ccheal,187,ccheal,医疗,嘉维尔,jiaweier,jwe,Gavial,IU07,4,阿达克利斯,活力再生,活力再生·广域,
char_188_helage,188,helage,近卫,赫拉格,helage,hlg,Hellagur,AZ01,6,黎博利,新月,弦月,满月
char_190_clour,190,clour,狙击,红云,hongyun,hy,Vermeil,R122,4,沃尔珀,攻击力强化·β型,双弦开弓,
char_192_falco,192,falco,先锋,翎羽,lingyu,ly,Plume,LT05,3,黎博利,迅捷打击·α型,,
char_193_frostl,193,frostl,近卫,霜叶,shuangye,sy,Frostleaf,R123,4,沃尔珀,寒霜枪刃,凝冰枪刃,
char_194_leto,194,leto,近卫,烈夏,liexia,lx,Лето,USS5,5,乌萨斯,迅捷打击·γ型,一呼百应,
char_195_glassb,195,glassb,辅助,真理,zhenli,zl,Истина,USS2,5,乌萨斯,专心致志,文学风暴,
char_196_sunbr,196,sunbr,重装,古米,gumi,gm,Гум,USS3,4,乌萨斯,备用军粮,食粮烹制,
char_197_poca,197,poca,狙击,早露,zaolu,zl,Роса,USS4,6,乌萨斯,攻击力强化·γ型,分裂射击,雪崩击
char_198_blackd,198,blackd,先锋,讯使,xunshi,xs,Courier,JC04,4,依特拉,冲锋号令·β型,冲锋号令·防御,
char_199_yak,199,yak,重装,角峰,jiaofeng,jf,Matterhorn,JC03,4,丰蹄,体能强化,抗寒体质,
char_201_moeshd,201,moeshd,重装,可颂,kesong,ks,Croissant,PL04,5,丰蹄,自动防御,磁爆锤,
char_202_demkni,202,demkni,重装,塞雷娅,saileiya,sly,Saria,RL02,6,瓦伊凡,急救,药物配置,钙质化
char_204_platnm,204,platnm,狙击,白金,baijin,bj,Platinum,KZ03,5,库兰塔,攻击力强化·γ型,天马视域,
char_206_gnosis,206,gnosis,辅助,灵知,lingzhi,lz,Gnosis,JC02,6,黎博利,高速思考,零度爆发,失温症
char_208_melan,208,melan,近卫,玫兰莎,meilansha,mls,Melantha,PA41,3,菲林,攻击力强化·α型,,
char_209_ardign,209,ardign,重装,卡缇,kati,kt,Cardigan,PA45,3,佩洛,生命回复·α型,,
char_210_stward,210,stward,术师,史都华德,shiduhuade,sdhd,Steward,PA42,3,沃尔珀,强力击·α型,,
char_211_adnach,211,adnach,狙击,安德切尔,andeqieer,adqe,Adnachiel,PA44,3,萨科塔,攻击力强化·α型,,
char_212_ansel,212,ansel,医疗,安赛尔,ansaier,ase,Ansel,PA43,3,卡特斯,治疗范围强化,,
char_213_mostma,213,mostma,术师,莫斯提马,mositima,mstm,Mostima,LT77,6,未公开,攻击力强化·γ型,荒时之锁,序时之匙
char_214_kafka,214,kafka,特种,卡夫卡,kafuka,kfk,Kafka,CB06,5,黎博利,怪异魔方,诡异剪刀,
char_215_mantic,215,mantic,特种,狮蝎,shixie,sx,Manticore,SG01,5,曼提柯,蝎毒,蓄力毒尾击,
char_218_cuttle,218,cuttle,狙击,安哲拉,anzhela,azl,Andreana,II04,5,阿戈尔,攻击力强化·γ型,阻滞射击战术,
char_219_meteo,219,meteo,狙击,陨星,yunxing,yx,Meteorite,ST03,5,萨卡兹,霰射弹头,高爆弹头,
char_220_grani,220,grani,先锋,格拉尼,gelani,gln,Grani,VC05,5,库兰塔,防御力强化·γ型,永不后退！,
char_222_bpipe,222,bpipe,先锋,风笛,fengdi,fd,Bagpipe,RV02,6,瓦伊凡,迅捷打击·γ型,高效冲击,闭膛连发
char_225_haak,225,haak,特种,阿,a,a,Aak,LM20,6,菲林,快速射击,爆发剂·γ型,爆发剂·榴莲味
char_226_hmau,226,hmau,重装,吽,hong,h,Hung,LM19,5,佩洛,反制治疗,反制医疗模式,
char_230_savage,230,savage,近卫,暴行,baoxing,bx,Savage,RB01,5,卡特斯,强力击·β型,微差爆破,
char_235_jesica,235,jesica,狙击,杰西卡,jiexika,jxk,Jessica,BS03,4,菲林,强力击·β型,掩护烟幕,
char_236_rope,236,rope,特种,暗索,ansuo,as,Rope,RB02,4,卡特斯,勾爪发射,复式勾爪,
char_237_gravel,237,gravel,特种,砾,li,l,Gravel,KZ04,4,札拉克,影袭,鼠群,
char_240_wyvern,240,wyvern,先锋,香草,xiangcao,xc,Vanilla,BS04,3,瓦伊凡,冲锋号令·援军,,
char_241_panda,241,panda,特种,食铁兽,shitieshou,sts,FEater,YD01,5,乌萨斯,铁意六合,崩拳式,
char_242_otter,242,otter,辅助,梅尔,meier,me,Mayer,RL05,5,阿纳缇,迷惑装置,爆破回收,
char_243_waaifu,243,waaifu,特种,槐琥,huaihu,hh,Waai Fu,LM12,5,菲林,寸劲,七武掠阵踢,
char_245_cello,245,cello,辅助,塑心,suxin,sx,Virtuosa,LT22,6,萨科塔,“黄金的狂喜”,“安魂的弥撒”,“自由的探戈”
char_248_mgllan,248,mgllan,辅助,麦哲伦,maizhelun,mzl,Magallan,RL06,6,黎博利,高效制冷模块,激光开采模块,武装打击模块
char_249_mlyss,249,mlyss,先锋,缪尔赛思,mouersaisi,mess,Muelsyse,RL09,6,精灵,渐进性润化,生态耦合,浅层非熵适应
char_250_phatom,250,phatom,特种,傀影,kuiying,ky,Phantom,R109,6,菲林,暗夜魅影,血色乐章,夜幕突袭
char_252_bibeak,252,bibeak,近卫,柏喙,baihui,bh,Bibeak,R138,5,黎博利,飞针剑羽,异刃斩,
char_253_greyy,253,greyy,术师,格雷伊,geleiyi,gly,Greyy,R119,4,佩洛,战术咏唱·α型,静电释放,
char_254_vodfox,254,vodfox,辅助,巫恋,wulian,wl,Shamare,R148,5,沃尔珀,病入膏肓,诅咒娃娃,
char_258_podego,258,podego,辅助,波登可,bodengke,bdk,Podenco,R157,4,佩洛,花香疗法,孢子扩散,
char_260_durnar,260,durnar,重装,坚雷,jianlei,jl,Dur-nar,R124,4,沃尔珀,攻击力强化·β型,起盾回击,
char_261_sddrag,261,sddrag,先锋,苇草,weicao,wc,Reed,HT03,5,德拉克,迅捷打击·γ型,生灵火花,
char_263_skadi,263,skadi,近卫,斯卡蒂,sikadi,skd,Skadi,AA01,6,未公开,迅捷打击·γ型,跃浪击,涌潮悲歌
char_264_f12yin,264,f12yin,近卫,山,shan,s,Mountain,CB05,6,菲林,左勾扫拳,横扫架势,震地碎岩击
char_265_sophia,265,sophia,近卫,鞭刃,bianren,br,Whislash,KZ07,5,库兰塔,激励艺术,鞭刃,
char_271_spikes,271,spikes,近卫,芳汀,fangting,ft,Arene,LT06,4,萨科塔,小玩笑,致命恶作剧,
char_272_strong,272,strong,特种,孑,jie,j,Jaye,LM14,4,乌萨斯,断螯,刺身拼盘,
char_274_astesi,274,astesi,近卫,星极,xingji,xj,Astesia,RR01,5,黎博利,星座守护,星辉剑,
char_275_breeze,275,breeze,医疗,微风,weifeng,wf,Breeze,R132,5,沃尔珀,集束疗法,扩散疗法,
char_277_sqrrel,277,sqrrel,特种,阿消,axiao,ax,Shaw,LM11,4,札拉克,水蒸气泵,高压水炮,
char_278_orchid,278,orchid,辅助,梓兰,zilan,zl,Orchid,PA61,3,黎博利,迅捷打击·α型,,
char_279_excu,279,excu,狙击,送葬人,songzangren,szr,Executor,LT01,5,萨科塔,铳口收束,最终旅程,
char_281_popka,281,popka,近卫,泡普卡,paopuka,ppk,Popukar,PA65,3,卡特斯,攻击力强化·α型,,
char_282_catap,282,catap,狙击,空爆,kongbao,kb,Catapult,PA63,3,库兰塔,爆破范围提升·α型,,
char_283_midn,283,midn,近卫,月见夜,yuexianye,yxy,Midnight,PA62,3,萨卡兹,武器附魔·α型,,
char_284_spot,284,spot,重装,斑点,bandian,bd,Spot,PA64,3,瑞柏巴,次级治疗模式,,
char_285_medic2,285,medic2,医疗,Lancet-2,Lancet-2,Lancet-2,Lancet-2,RCX2,1,,,,
char_286_cast3,286,cast3,近卫,Castle-3,Castle-3,Castle-3,Castle-3,RCX3,1,,,,
char_289_gyuki,289,gyuki,近卫,缠丸,chanwan,cw,Matoimaru,HK01,4,鬼,生命回复·β型,恶鬼之力,
char_290_vigna,290,vigna,先锋,红豆,hongdou,hd,Vigna,R105,4,萨卡兹,攻击力强化·β型,槌音,
char_291_aglina,291,aglina,辅助,安洁莉娜,anjielina,ajln,Angelina,SR02,6,沃尔珀,秘杖·速充模式,秘杖·微粒模式,秘杖·反重力模式
char_293_thorns,293,thorns,近卫,棘刺,jici,jc,Thorns,II01,6,阿戈尔,攻击力强化·γ型,护身尖刺,至高之术
char_294_ayer,294,ayer,近卫,断崖,duanya,dy,Ayerscarpe,RB04,5,卡特斯,多导向散射弹丸,浮游刃启动,
char_297_hamoni,297,hamoni,术师,和弦,hexian,hx,Harmonie,DB03,5,菲林,轻巧舞步,沉溺之灾,
char_298_susuro,298,susuro,医疗,苏苏洛,susuluo,ssl,Sussurro,R107,4,沃尔珀,治疗强化·β型,深度治疗,
char_300_phenxi,300,phenxi,狙击,菲亚梅塔,feiyameita,fymt,Fiammetta,LT11,6,黎博利,“你须直面”,“你须愧悔”,“你须偿还”
char_301_cutter,301,cutter,近卫,刻刀,kedao,kd,Cutter,R144,4,沃尔珀,红移,绯红刺刀,
char_302_glaze,302,glaze,狙击,安比尔,anbier,abe,Ambriel,LT02,4,萨科塔,阻挡弹,雷达定位,
char_304_zebra,304,zebra,重装,暴雨,baoyu,by,Heavyrain,R164,5,库兰塔,应急迷彩,群体迷彩,
char_306_leizi,306,leizi,术师,惊蛰,jingzhe,jz,Leizi,YD05,5,麒麟,攻击力强化·γ型,初雷,
char_308_swire,308,swire,近卫,诗怀雅,shihuaiya,shy,Swire,LM08,5,菲林,指挥调度,协同作战,
char_311_mudrok,311,mudrok,重装,泥岩,niyan,ny,Mudrock,R159,6,萨卡兹,防御力强化·γ型,岩崩锤,秽壤的血脉
char_322_lmlee,322,lmlee,特种,老鲤,laoli,ll,Lee,LM18,6,龙,小惩大诫,驱凶辟邪,贵客盈门
char_325_bison,325,bison,重装,拜松,baisong,bs,Bison,LM15,5,丰蹄,防御力强化·γ型,深化阵线,
char_326_glacus,326,glacus,辅助,格劳克斯,gelaokesi,glks,Glaucus,R128,5,未公开,双线装填,反制电磁脉冲,
char_328_cammou,328,cammou,术师,卡达,kada,kd,Click,R140,4,札拉克,攻击力强化·β型,同步索敌攻击,
char_332_archet,332,archet,狙击,空弦,kongxian,kx,Archetto,LT08,6,黎博利,箭矢·散逸,箭矢·追猎,箭矢·暴风
char_333_sidero,333,sidero,近卫,铸铁,zhutie,zt,Sideroca,R126,5,丰蹄,生命回复·γ型,破浪回神,
char_336_folivo,336,folivo,辅助,稀音,xiyin,xy,Scene,R162,5,皮洛萨,保护色隐蔽,全景过载摄像,
char_337_utage,337,utage,近卫,宴,yan,y,Utage,HK03,4,不明,分神,落地斩·破门,
char_338_iris,338,iris,术师,爱丽丝,ailisi,als,Iris,VC12,5,菲林,童话守卫者,梦乡摇篮,
char_340_shwaz,340,shwaz,狙击,黑,hei,h,Schwarz,SS02,6,菲林,强弩,暮眼锐瞳,战术的终结
char_341_sntlla,341,sntlla,术师,寒檀,hantan,ht,Santalla,SI02,5,菲林,迅捷打击·γ型,“女巫之泪”,
char_343_tknogi,343,tknogi,辅助,月禾,yuehe,yh,Tsukinogi,R129,5,埃拉菲亚,迹无,森廻,
char_344_beewax,344,beewax,术师,蜜蜡,mila,ml,Beeswax,R147,5,卡普里尼,沙暴扩散,守卫尖碑,
char_345_folnic,345,folnic,医疗,亚叶,yaye,yy,Folinic,R133,5,菲林,最大剂量输注,复合型药物弹片,
char_346_aosta,346,aosta,狙击,奥斯塔,aosita,ast,Aosta,SR28,5,鲁珀,迅捷打击·γ型,影钉,
char_347_jaksel,347,jaksel,近卫,杰克,jieke,jk,Jackie,R166,4,佩洛,给你一拳！,全神贯注！,
char_348_ceylon,348,ceylon,医疗,锡兰,xilan,xl,Ceylon,SS01,5,黎博利,集中式水疗,水灵庇护,
char_349_chiave,349,chiave,先锋,贾维,jiawei,jw,Chiave,SR26,5,沃尔珀,冲锋号令·γ型,火焰剥离,
char_350_surtr,350,surtr,近卫,史尔特尔,shierteer,sete,Surtr,R111,6,萨卡兹,烈焰魔剑,熔核巨影,黄昏
char_355_ethan,355,ethan,特种,伊桑,yisang,ys,Ethan,R130,4,萨弗拉,花式回旋,十字悬挂,
char_356_broca,356,broca,近卫,布洛卡,buluoka,blk,Broca,SR27,5,菲林,通电,高压电流,
char_358_lisa,358,lisa,辅助,铃兰,linglan,ll,Suzuran,R172,6,沃尔珀,全力以赴,儿时的舞乐,狐火渺然
char_362_saga,362,saga,先锋,嵯峨,cuoe,ce,Saga,HK13,6,佩洛,冲锋号令·γ型,除恶,怒目
char_363_toddi,363,toddi,狙击,熔泉,rongquan,rq,Toddifons,VC11,5,瓦伊凡,信号矢,便携破城矢,
char_365_aprl,365,aprl,狙击,四月,siyue,sy,April,RB07,5,卡特斯,精准射击,灵活伪装,
char_366_acdrop,366,acdrop,狙击,酸糖,suantang,st,Aciddrop,R139,4,黎博利,花式点射,扳机时刻,
char_367_swllow,367,swllow,狙击,灰喉,huihou,hh,GreyThroat,R110,5,黎博利,飞羽,回流,
char_369_bena,369,bena,特种,贝娜,beina,bn,Bena,VC14,5,卡普里尼,奋力修剪,快速修剪,
char_373_lionhd,373,lionhd,术师,莱恩哈特,laienhate,leht,Leonhardt,RB03,5,卡特斯,攻击力强化·γ型,解构与爆破,
char_376_therex,376,therex,特种,THRM-EX,THRM-EX,THRM-EX,Thermal-EX,RCX4,1,,,,
char_377_gdglow,377,gdglow,术师,澄闪,chengshan,cs,Goldenglow,VC09,6,菲林,火花四溅,电流翻涌,澄净闪耀
char_378_asbest,378,asbest,重装,石棉,shimian,sm,Asbestos,RB05,5,萨弗拉,固守模式,火电模式,
char_379_sesa,379,sesa,狙击,慑砂,shesha,ss,Sesa,R158,5,瓦伊凡,攻击力强化·γ型,延时震荡零件,
char_381_bubble,381,bubble,重装,泡泡,paopao,pp,Bubble,R146,4,塞拉托,防御力强化·β型,“挨打”,
char_383_snsant,383,snsant,特种,雪雉,xuezhi,xz,Snowsant,LM16,5,黎博利,倒刺钩爪,伸缩式电捕网,
char_385_finlpp,385,finlpp,医疗,清流,qingliu,ql,Purestream,R160,4,阿戈尔,治愈水波,涌泉,
char_388_mint,388,mint,术师,薄绿,bolu,bl,Mint,VC08,5,菲林,风语,聚能涡旋,
char_391_rosmon,391,rosmon,狙击,迷迭香,midiexiang,mdx,Rosmontis,RE45,6,菲林,思维膨大,末梢阻断,“如你所愿”
char_400_weedy,400,weedy,特种,温蒂,wendi,wd,Weedy,R117,6,阿戈尔,炮管敲击,水炮模式,液氮大炮
char_401_elysm,401,elysm,先锋,极境,jijing,jj,Elysium,R131,5,黎博利,支援号令·γ型,聆听,
char_402_tuye,402,tuye,医疗,图耶,tuye,ty,Tuye,SG08,5,丰蹄,水流环,强心剂,
char_405_absin,405,absin,术师,苦艾,kuai,ka,Absinthe,US11,5,乌萨斯,执法模式,终结连射,
char_411_tomimi,411,tomimi,术师,特米米,temimi,tmm,Tomimi,SG05,5,阿达克利斯,部族技艺,嘉维尔保护方案,
char_415_flint,415,flint,近卫,燧石,suishi,ss,Flint,SG06,5,黎博利,不息,锋芒毕露,
char_416_zumama,416,zumama,重装,森蚺,senran,sr,Eunectes,SG03,6,斐迪亚,轻型挂斧,震慑劈砍,钢铁意志
char_420_flamtl,420,flamtl,先锋,焰尾,yanwei,yw,Flametail,KZ11,6,札拉克,迅敏直觉,“红松林”,焰心
char_421_crow,421,crow,近卫,羽毛笔,yumaobi,ymb,La Pluma,BV13,5,黎博利,高速切割,收割,
char_422_aurora,422,aurora,重装,极光,jiguang,jg,Aurora,JC09,5,乌萨斯,固守家园,人工降雪,
char_423_blemsh,423,blemsh,重装,瑕光,xiaguang,xg,Blemishine,KZ09,6,库兰塔,光芒涌动,慑敌辉光,先贤化身
char_426_billro,426,billro,术师,卡涅利安,kanielian,knla,Carnelian,LN04,6,卡普里尼,沙暴守卫,沙缚镣锁,食噬之印
char_427_vigil,427,vigil,先锋,伺夜,siye,sy,Vigil,SR36,6,鲁珀,领袖的呼唤,领袖的馈赠,领袖的尊严
char_430_fartth,430,fartth,狙击,远牙,yuanya,yy,Fartooth,KZ13,6,黎博利,迅捷打击·γ型,同盟支援,光羽箭
char_431_ashlok,431,ashlok,重装,灰毫,huihao,hh,Ashlock,KZ12,5,札拉克,攻击力强化·γ型,专注轰击,
char_433_windft,433,windft,辅助,掠风,lvefeng,lf,Windflit,CB19,5,佩洛,此身为筑,此身为源,
char_436_whispr,436,whispr,医疗,絮雨,xuyu,xy,Whisperain,R163,5,阿戈尔,定向诊断,痛觉抑制,
char_437_mizuki,437,mizuki,特种,水月,shuiyue,sy,Mizuki,HK07,6,阿戈尔,唤醒,囚徒困境,镜花水月
char_440_pinecn,440,pinecn,狙击,松果,songguo,sg,Pinecone,CB09,4,黎博利,RMA长钉,电能过载,
char_445_wscoot,445,wscoot,近卫,骋风,chengfeng,cf,Windscoot,YD22,4,菲林,以攻为守,招无虚发,
char_446_aroma,446,aroma,术师,阿罗玛,aluoma,alm,Aroma,SR39,5,鲁珀,强效清洁,小心地滑,
char_449_glider,449,glider,医疗,蜜莓,mimei,mm,Honeyberry,RB06,5,札拉克,精神护理,振奋,
char_450_necras,450,necras,术师,死芒,simang,sm,Necrass,DB01,6,德拉克,噩愿,折朽,冠死以冕
char_451_robin,451,robin,特种,罗宾,luobin,lb,Robin,CB08,5,阿纳缇,束缚“夹子”,弹射“夹子”,
char_452_bstalk,452,bstalk,先锋,豆苗,doumiao,dm,Beanstalk,CB16,4,瑞柏巴,定点指令,“大家一起上”,
char_455_nothin,455,nothin,特种,乌有,wuyou,wy,Mr.Nothing,YD11,5,黎博利,知难而退,阴晴圆缺,
char_456_ash,456,ash,狙击,灰烬,huijin,hj,Ash,RS01,6,未知,支援射击,突击战术,攻坚榴弹
char_457_blitz,457,blitz,重装,闪击,shanji,sj,Blitz,RS02,5,未知,闪光护盾,突破防线,
char_458_rfrost,458,rfrost,特种,霜华,shuanghua,sh,Frost,RS03,5,未知,陷阱部署,击倒猎物,
char_459_tachak,459,tachak,近卫,战车,zhanche,zc,Tachanka,RS04,5,未知,燃烧榴弹,倾泻弹药,
char_464_cement,464,cement,重装,洋灰,yanghui,yh,Cement,RB11,5,札拉克,突破矿层,结构加固,
char_466_qanik,466,qanik,术师,雪绒,xuerong,xr,Qanipalaat,SI03,5,沃尔珀,冻风,坠雪,
char_469_indigo,469,indigo,术师,深靛,shendian,sd,Indigo,II05,4,斐迪亚,灯塔守卫者,光影迷宫,
char_472_pasngr,472,pasngr,术师,异客,yike,yk,Passenger,SG07,6,黎博利,电能之触,聚焦指令,辉煌裂片
char_473_mberry,473,mberry,医疗,桑葚,sangshen,ss,Mulberry,YD03,5,黎博利,治愈云雾,安全区域,
char_474_glady,474,glady,特种,歌蕾蒂娅,geleidiya,gldy,Gladiia,AA05,6,未公开,缺水的大洋裂断,缺水的掌握怒海,缺水的碎漩狂舞
char_475_akafyu,475,akafyu,近卫,赤冬,chidong,cd,Akafuyu,HK04,5,阿戈尔,信影流·雷刀之势,信影流·十文字胜,
char_476_blkngt,476,blkngt,先锋,夜半,yeban,yb,Blacknight,RB12,5,萨弗拉,半醒,安眠,
char_478_kirara,478,kirara,特种,绮良,qiliang,ql,Kirara,HK05,5,阿戈尔,锚击,锚点捕捉,
char_479_sleach,479,sleach,先锋,琴柳,qinliu,ql,Saileach,VC10,6,瓦伊凡,支援号令·γ型,信仰传承,光辉旗帜
char_484_robrta,484,robrta,辅助,罗比菈塔,luobilata,lblt,Roberta,CB11,4,阿纳缇,叙拉古式上妆,全自动造型仪,
char_485_pallas,485,pallas,近卫,帕拉斯,palasi,pls,Pallas,MN04,6,丰蹄,胜利的连击,信念的长鞭,英勇的祝福
